  0.0094	 9.15798e+08	 3.66481e+08	 3.66481e+08	 6.35202e+08	 3.66481e+08	 3.66481e+08	 
  0.0096	 9.08598e+08	 3.77135e+08	 3.77135e+08	 6.41475e+08	 3.77135e+08	 3.77135e+08	 
  0.0098	 9.00672e+08	 3.87426e+08	 3.87426e+08	 6.46966e+08	 3.87426e+08	 3.87426e+08	 
    0.01	 8.92072e+08	 3.97336e+08	 3.97336e+08	 6.5169e+08	 3.97336e+08	 3.97336e+08	 
  0.0102	 8.82847e+08	 4.06847e+08	 4.06847e+08	 6.55661e+08	 4.06847e+08	 4.06847e+08	 
  0.0104	 8.73046e+08	 4.15945e+08	 4.15945e+08	 6.58895e+08	 4.15945e+08	 4.15945e+08	 
  0.0106	 8.62715e+08	 4.24618e+08	 4.24618e+08	 6.61411e+08	 4.24618e+08	 4.24618e+08	 
  0.0108	 8.519e+08	 4.32855e+08	 4.32855e+08	 6.63228e+08	 4.32855e+08	 4.32855e+08	 
   0.011	 8.40643e+08	 4.40647e+08	 4.40647e+08	 6.64366e+08	 4.40647e+08	 4.40647e+08	 
  0.0112	 8.28987e+08	 4.47986e+08	 4.47986e+08	 6.64846e+08	 4.47986e+08	 4.47986e+08	 
  0.0114	 8.16971e+08	 4.54867e+08	 4.54867e+08	 6.6469e+08	 4.54867e+08	 4.54867e+08	 
  0.0116	 8.04633e+08	 4.61285e+08	 4.61285e+08	 6.6392e+08	 4.61285e+08	 4.61285e+08	 
  0.0118	 7.92011e+08	 4.67238e+08	 4.67238e+08	 6.62561e+08	 4.67238e+08	 4.67238e+08	 
   0.012	 7.79139e+08	 4.72724e+08	 4.72724e+08	 6.60634e+08	 4.72724e+08	 4.72724e+08	 
  0.0122	 7.66051e+08	 4.77743e+08	 4.77743e+08	 6.58164e+08	 4.77743e+08	 4.77743e+08	 
  0.0124	 7.52777e+08	 4.82297e+08	 4.82297e+08	 6.55175e+08	 4.82297e+08	 4.82297e+08	 
  0.0126	 7.39349e+08	 4.86388e+08	 4.86388e+08	 6.51691e+08	 4.86388e+08	 4.86388e+08	 
  0.0128	 7.25794e+08	 4.90019e+08	 4.90019e+08	 6.47736e+08	 4.90019e+08	 4.90019e+08	 
   0.013	 7.1214e+08	 4.93195e+08	 4.93195e+08	 6.43333e+08	 4.93195e+08	 4.93195e+08	 
  0.0132	 6.98413e+08	 4.95922e+08	 4.95922e+08	 6.38506e+08	 4.95922e+08	 4.95922e+08	 
  0.0134	 6.84635e+08	 4.98207e+08	 4.98207e+08	 6.33279e+08	 4.98207e+08	 4.98207e+08	 
  0.0136	 6.7083e+08	 5.00056e+08	 5.00056e+08	 6.27675e+08	 5.00056e+08	 5.00056e+08	 
  0.0138	 6.57019e+08	 5.01478e+08	 5.01478e+08	 6.21718e+08	 5.01478e+08	 5.01478e+08	 
   0.014	 6.43223e+08	 5.02482e+08	 5.02482e+08	 6.15429e+08	 5.02482e+08	 5.02482e+08	 
  0.0142	 6.29459e+08	 5.03076e+08	 5.03076e+08	 6.0883e+08	 5.03076e+08	 5.03076e+08	 
  0.0144	 6.15745e+08	 5.03272e+08	 5.03272e+08	 6.01944e+08	 5.03272e+08	 5.03272e+08	 
  0.0146	 6.02098e+08	 5.0308e+08	 5.0308e+08	 5.94792e+08	 5.0308e+08	 5.0308e+08	 
  0.0148	 5.88532e+08	 5.0251e+08	 5.0251e+08	 5.87394e+08	 5.0251e+08	 5.0251e+08	 
   0.015	 5.75061e+08	 5.01575e+08	 5.01575e+08	 5.7977e+08	 5.01575e+08	 5.01575e+08	 
  0.0152	 5.617e+08	 5.00285e+08	 5.00285e+08	 5.7194e+08	 5.00285e+08	 5.00285e+08	 
  0.0154	 5.48458e+08	 4.98653e+08	 4.98653e+08	 5.63922e+08	 4.98653e+08	 4.98653e+08	 
  0.0156	 5.35349e+08	 4.96691e+08	 4.96691e+08	 5.55736e+08	 4.96691e+08	 4.96691e+08	 
  0.0158	 5.22381e+08	 4.94412e+08	 4.94412e+08	 5.47398e+08	 4.94412e+08	 4.94412e+08	 
   0.016	 5.09563e+08	 4.91828e+08	 4.91828e+08	 5.38927e+08	 4.91828e+08	 4.91828e+08	 
  0.0162	 4.96905e+08	 4.88952e+08	 4.88952e+08	 5.30338e+08	 4.88952e+08	 4.88952e+08	 
  0.0164	 4.84414e+08	 4.85796e+08	 4.85796e+08	 5.21647e+08	 4.85796e+08	 4.85796e+08	 
  0.0166	 4.72096e+08	 4.82373e+08	 4.82373e+08	 5.1287e+08	 4.82373e+08	 4.82373e+08	 
  0.0168	 4.59958e+08	 4.78697e+08	 4.78697e+08	 5.04021e+08	 4.78697e+08	 4.78697e+08	 
   0.017	 4.48004e+08	 4.74779e+08	 4.74779e+08	 4.95114e+08	 4.74779e+08	 4.74779e+08	 
  0.0172	 4.36241e+08	 4.70633e+08	 4.70633e+08	 4.86162e+08	 4.70633e+08	 4.70633e+08	 
  0.0174	 4.24672e+08	 4.66271e+08	 4.66271e+08	 4.77179e+08	 4.66271e+08	 4.66271e+08	 
  0.0176	 4.133e+08	 4.61705e+08	 4.61705e+08	 4.68176e+08	 4.61705e+08	 4.61705e+08	 
  0.0178	 4.02129e+08	 4.56947e+08	 4.56947e+08	 4.59165e+08	 4.56947e+08	 4.56947e+08	 
   0.018	 3.91161e+08	 4.52011e+08	 4.52011e+08	 4.50157e+08	 4.52011e+08	 4.52011e+08	 
  0.0182	 3.80399e+08	 4.46906e+08	 4.46906e+08	 4.41162e+08	 4.46906e+08	 4.46906e+08	 
  0.0184	 3.69843e+08	 4.41647e+08	 4.41647e+08	 4.3219e+08	 4.41647e+08	 4.41647e+08	 
  0.0186	 3.59495e+08	 4.36242e+08	 4.36242e+08	 4.23251e+08	 4.36242e+08	 4.36242e+08	 
  0.0188	 3.49356e+08	 4.30705e+08	 4.30705e+08	 4.14353e+08	 4.30705e+08	 4.30705e+08	 
   0.019	 3.39425e+08	 4.25046e+08	 4.25046e+08	 4.05504e+08	 4.25046e+08	 4.25046e+08	 
  0.0192	 3.29705e+08	 4.19275e+08	 4.19275e+08	 3.96712e+08	 4.19275e+08	 4.19275e+08	 
  0.0194	 3.20193e+08	 4.13403e+08	 4.13403e+08	 3.87985e+08	 4.13403e+08	 4.13403e+08	 
  0.0196	 3.10889e+08	 4.07439e+08	 4.07439e+08	 3.79328e+08	 4.07439e+08	 4.07439e+08	 
  0.0198	 3.01793e+08	 4.01395e+08	 4.01395e+08	 3.70749e+08	 4.01395e+08	 4.01395e+08	 
    0.02	 2.92903e+08	 3.95279e+08	 3.95279e+08	 3.62253e+08	 3.95279e+08	 3.95279e+08	 
  0.0202	 2.84218e+08	 3.89101e+08	 3.89101e+08	 3.53846e+08	 3.89101e+08	 3.89101e+08	 
