0	0.0	0.0	0.0	0.0	0.0	0.0
0.0002	3.4133333306e-40	5.16701119977e-26	2.341378233e-25	6.15008114582e-23	3.93338164786e-17	3.9829506702e-20
0.0004	2.7306666623e-39	4.1336075295e-25	9.36551288642e-25	2.46003243121e-22	1.57335238336e-16	1.59318024006e-19
0.0006	9.21599997788e-39	1.39509205848e-24	2.10724038918e-24	5.53507290922e-22	3.54004224204e-16	3.58465547711e-19
0.0008	2.18453332634e-38	3.3068837351e-24	3.74620511809e-24	9.84012950793e-22	6.29340732715e-16	6.37272073615e-19
0.001	4.2666666496e-38	6.45875506025e-24	5.85344546852e-24	1.53752021867e-21	9.83344722502e-16	9.95737597515e-19
0.0012	7.37279996461e-38	1.11607248823e-23	8.42896143362e-24	2.21402909048e-21	1.4160161522e-15	1.43386211521e-18
0.0014	1.17077332678e-37	1.77228116204e-23	1.14727530066e-23	3.01353956215e-21	1.92735498043e-15	1.9516456225e-18
0.0016	1.74762665548e-37	2.64550332648e-23	1.49848201805e-23	3.93605162963e-21	2.51736116584e-15	2.54908811517e-18
0.0018	2.48831998208e-37	3.76674073765e-23	1.89651629486e-23	4.98156528885e-21	3.18603466705e-15	3.22618958904e-18
0.002	3.41333330603e-37	5.16699510875e-23	2.34137813041e-23	6.15008053573e-21	3.9333754427e-15	3.98295003989e-18
0.0022	4.54314662669e-37	6.87726811007e-23	2.833067524e-23	7.44159736621e-21	4.75938345142e-15	4.81936946353e-18
0.0024	5.89823994338e-37	8.92856136899e-23	3.37158447496e-23	8.85611577622e-21	5.66405865184e-15	5.73544785574e-18
0.0026	7.49909325534e-37	1.135187647e-22	3.95692898259e-23	1.03936357617e-20	6.6474010026e-15	6.73118521234e-18
0.0028	9.36618656177e-37	1.41782149546e-22	4.58910104623e-23	1.20541573186e-20	7.70941046232e-15	7.80658152912e-18
0.003	1.15199998618e-36	1.74385783215e-22	5.26810066517e-23	1.38376804428e-20	8.85008698964e-15	8.96163680187e-18
0.0032	1.39810131544e-36	2.11639680264e-22	5.99392783874e-23	1.57442051302e-20	1.00694305432e-14	1.01963510264e-17
0.0034	1.67697064386e-36	2.53853854821e-22	6.76658256626e-23	1.77737313769e-20	1.13674410816e-14	1.15107241985e-17
0.0036	1.99065597133e-36	3.01338320587e-22	7.58606484704e-23	1.99262591787e-20	1.27441185635e-14	1.2904756314e-17
0.0038	2.34120529775e-36	3.5440309083e-22	8.4523746804e-23	2.22017885315e-20	1.41994629476e-14	1.43784473686e-17
0.004	2.73066662298e-36	4.13358178393e-22	9.36551206564e-23	2.46003194314e-20	1.57334741924e-14	1.59317973582e-17
0.0042	3.16108794689e-36	4.78513595686e-22	1.03254770021e-22	2.71218518742e-20	1.73461522566e-14	1.75648062786e-17
0.0044	3.63451726937e-36	5.50179354694e-22	1.13322694891e-22	2.97663858558e-20	1.90374970988e-14	1.92774741255e-17
0.0046	4.15300259025e-36	6.28665466969e-22	1.23858895259e-22	3.25339213722e-20	2.08075086777e-14	2.10698008948e-17
0.0048	4.7185919094e-36	7.14281943637e-22	1.34863371119e-22	3.54244584193e-20	2.26561869519e-14	2.29417865822e-17
0.005	5.33333322667e-36	8.07338795392e-22	1.46336122463e-22	3.84379969932e-20	2.458353188e-14	2.48934311836e-17
0.0052	5.99927454188e-36	9.08146032503e-22	1.58277149286e-22	4.15745370895e-20	2.65895434207e-14	2.69247346948e-17
0.0054	6.71846385488e-36	1.01701366481e-21	1.70686451579e-22	4.48340787045e-20	2.86742215325e-14	2.90356971115e-17
0.0056	7.49294916549e-36	1.13425170171e-21	1.83564029337e-22	4.82166218338e-20	3.08375661742e-14	3.12263184295e-17
0.0058	8.32477847353e-36	1.26017015219e-21	1.96909882552e-22	5.17221664736e-20	3.30795773043e-14	3.34965986447e-17
0.006	9.21599977882e-36	1.3950790248e-21	2.10724011217e-22	5.53507126197e-20	3.54002548815e-14	3.58465377529e-17
0.0062	1.01686610812e-35	1.53928832767e-21	2.25006415327e-22	5.9102260268e-20	3.77995988645e-14	3.82761357498e-17
0.0064	1.11848103803e-35	1.69310806848e-21	2.39757094873e-22	6.29768094145e-20	4.02776092118e-14	4.07853926312e-17
0.0066	1.22664956762e-35	1.85684825449e-21	2.54976049849e-22	6.69743600552e-20	4.28342858821e-14	4.3374308393e-17
0.0068	1.34157649684e-35	2.03081889254e-21	2.70663280248e-22	7.10949121859e-20	4.54696288339e-14	4.60428830309e-17
0.007	1.46346662569e-35	2.21532998904e-21	2.86818786063e-22	7.53384658025e-20	4.81836380261e-14	4.87911165407e-17
0.0072	1.59252475414e-35	2.41069154996e-21	3.03442567289e-22	7.97050209011e-20	5.09763134171e-14	5.16190089183e-17
0.0074	1.72895568216e-35	2.61721358085e-21	3.20534623916e-22	8.41945774776e-20	5.38476549657e-14	5.45265601594e-17
0.0076	1.87296420973e-35	2.83520608682e-21	3.3809495594e-22	8.88071355278e-20	5.67976626304e-14	5.75137702599e-17
0.0078	2.02475513683e-35	3.06497907256e-21	3.56123563352e-22	9.35426950477e-20	5.98263363699e-14	6.05806392154e-17
0.008	2.18453326343e-35	3.30684254234e-21	3.74620446147e-22	9.84012560333e-20	6.29336761428e-14	6.37271670219e-17
0.0082	2.3525033895e-35	3.56110649998e-21	3.93585604317e-22	1.0338281848e-19	6.61196819077e-14	6.69533536751e-17
0.0084	2.52887031503e-35	3.82808094888e-21	4.13019037855e-22	1.08487382385e-19	6.93843536234e-14	7.02591991709e-17
