Neutrino Energy (eV)	Electron type neutrino	electron antineutrino type	"mu, tau, anti mu, anti tau"
8.25E+07	0.10588	0.131148	0.736845
8.26E+07	0.118175	0.127381	0.709992
8.28E+07	0.0997005	0.12403	0.713835
8.29E+07	0.114422	0.120657	0.684838
8.30E+07	0.100423	0.118488	0.683686
8.31E+07	0.101529	0.116773	0.667298
8.33E+07	0.10802	0.114283	0.64662
8.34E+07	0.0919524	0.112786	0.647815
8.35E+07	0.0995164	0.112588	0.624383
8.36E+07	0.102157	0.110734	0.607834
8.38E+07	0.088034	0.108749	0.608472
8.39E+07	0.0908057	0.106549	0.592718
8.40E+07	0.0985492	0.103697	0.572927
8.41E+07	0.0902808	0.100681	0.569591
8.43E+07	0.0812694	0.099261	0.565675
8.44E+07	0.0850435	0.0966511	0.550431
8.45E+07	0.0912512	0.0945209	0.532536
8.46E+07	0.0886327	0.0925397	0.523578
8.48E+07	0.0802621	0.0908262	0.520357
8.49E+07	0.0746757	0.0904084	0.513302
8.50E+07	0.0750147	0.0881739	0.502386
8.51E+07	0.0784782	0.0860509	0.488471
8.53E+07	0.0812246	0.085435	0.474004
8.54E+07	0.0814283	0.0842348	0.462894
8.55E+07	0.0793657	0.0827868	0.454524
8.56E+07	0.076169	0.0815993	0.447249
8.58E+07	0.0728485	0.080147	0.440581
8.59E+07	0.069947	0.0788385	0.433566
8.60E+07	0.0676346	0.0773901	0.426309
8.61E+07	0.0658819	0.0759663	0.418677
8.63E+07	0.0646145	0.0744383	0.410865
8.64E+07	0.0637976	0.0729045	0.402808
8.65E+07	0.0634314	0.0712782	0.394587
8.66E+07	0.0635219	0.0700803	0.385673
8.68E+07	0.0639646	0.0683799	0.377096
8.69E+07	0.0644632	0.0675312	0.367796
8.70E+07	0.0644061	0.0660731	0.359843
8.71E+07	0.0630395	0.0650594	0.352931
8.73E+07	0.0598852	0.0635277	0.348503
8.74E+07	0.060582	0.0621237	0.340265
8.75E+07	0.0517633	0.0609473	0.341483
8.76E+07	0.0510468	0.0596419	0.334892
8.78E+07	0.0536904	0.0589285	0.32451
8.79E+07	0.0563426	0.0580403	0.314453
8.80E+07	0.0545236	0.0564916	0.309686
8.81E+07	0.0488673	0.0551759	0.308675
8.83E+07	0.0462155	0.0542522	0.304417
8.84E+07	0.0497292	0.0534184	0.294051
8.85E+07	0.0515828	0.0525841	0.28549
8.86E+07	0.0461432	0.0511753	0.28494
8.88E+07	0.043037	0.0505564	0.281404
8.89E+07	0.0474973	0.0496512	0.270724
8.90E+07	0.046429	0.0484242	0.266032
8.91E+07	0.040463	0.0478199	0.265744
8.93E+07	0.0438306	0.046856	0.256611
8.94E+07	0.0441961	0.0461495	0.250348
8.95E+07	0.0382109	0.0452354	0.250771
8.96E+07	0.0424278	0.0443274	0.241105
8.98E+07	0.0401163	0.0435811	0.237928
8.99E+07	0.0369814	0.0425442	0.235981
9.00E+07	0.0411731	0.0418195	0.226511
9.01E+07	0.034962	0.040892	0.22776
9.03E+07	0.0388979	0.0401993	0.218738
9.04E+07	0.0351192	0.0390048	0.21804
9.05E+07	0.0359591	0.0381368	0.212506
9.06E+07	0.0350781	0.0373477	0.208718
9.08E+07	0.0337974	0.0366946	0.205297
9.09E+07	0.034232	0.0358159	0.200487
9.10E+07	0.032517	0.0351534	0.19771
9.11E+07	0.0326626	0.0344713	0.19319
9.13E+07	0.0320165	0.0340463	0.189299
9.14E+07	0.0304635	0.0335379	0.186492
9.15E+07	0.0320951	0.0328101	0.180813
9.16E+07	0.0281333	0.0323812	0.180518
9.18E+07	0.0317464	0.0318997	0.172789
9.19E+07	0.0272195	0.0315131	0.173192
9.20E+07	0.0292378	0.0309155	0.167347
9.21E+07	0.0286937	0.0303158	0.16415
9.23E+07	0.025635	0.0294291	0.163835
9.24E+07	0.0287775	0.0287835	0.15716
9.25E+07	0.0261038	0.0281076	0.15641
9.26E+07	0.0246348	0.0274389	0.154525
9.28E+07	0.0273212	0.0268945	0.148438
9.29E+07	0.0249201	0.02647	0.147393
9.30E+07	0.0230069	0.0260253	0.145953
9.31E+07	0.0253359	0.0254994	0.140425
9.33E+07	0.0248428	0.0254389	0.137323
9.34E+07	0.0218941	0.0249339	0.137191
9.35E+07	0.0221362	0.0245318	0.133833
9.36E+07	0.0239385	0.024069	0.129043
9.38E+07	0.0230225	0.0233588	0.127283
9.39E+07	0.0205883	0.0228428	0.126912
9.40E+07	0.0200484	0.0222156	0.12482
9.41E+07	0.0213717	0.0217839	0.120732
9.43E+07	0.0220618	0.0214843	0.117205
9.44E+07	0.0209599	0.0211429	0.115572
9.45E+07	0.0191453	0.0209214	0.11459
9.46E+07	0.0181163	0.0205517	0.113028
9.48E+07	0.0182833	0.0202369	0.110271
9.49E+07	0.0190325	0.0197694	0.10714
9.50E+07	0.0195567	0.019154	0.104435
9.51E+07	0.0194487	0.0187574	0.102198
9.53E+07	0.0187756	0.018288	0.10065
9.54E+07	0.0178276	0.017951	0.0992966
9.55E+07	0.0168876	0.0179146	0.0976838
9.56E+07	0.0161201	0.0175358	0.0962909
9.58E+07	0.0155588	0.0173474	0.0945491
9.59E+07	0.0151719	0.0169805	0.0928589
9.60E+07	0.0148936	0.0164649	0.0912555
9.61E+07	0.0146663	0.0160397	0.089556
9.63E+07	0.0144472	0.0156854	0.0878224
9.64E+07	0.0142126	0.0154566	0.0860227
9.65E+07	0.0139531	0.0153301	0.0841886
9.66E+07	0.013674	0.0150754	0.082545
9.68E+07	0.0133884	0.0148906	0.080879
9.69E+07	0.0131257	0.0145409	0.0793957
9.70E+07	0.0129226	0.0140828	0.0780011
9.71E+07	0.012821	0.0137289	0.0764402
9.73E+07	0.0128505	0.01355	0.0746113
9.74E+07	0.0130083	0.013444	0.0726192
9.75E+07	0.0132279	0.0132848	0.0706552
9.76E+07	0.0133713	0.0129504	0.0689792
9.78E+07	0.0132592	0.0126438	0.0675664
9.79E+07	0.0127682	0.0123423	0.0665625
9.80E+07	0.0119598	0.0120073	0.0659434
9.81E+07	0.0111405	0.0119228	0.0651184
9.83E+07	0.0107396	0.0118423	0.0639041
9.84E+07	0.01097	0.0116143	0.0622386
9.85E+07	0.0115067	0.0113905	0.0602943
9.86E+07	0.0116314	0.0110812	0.0588784
9.88E+07	0.0109366	0.0107277	0.0583565
9.89E+07	0.00994995	0.01062	0.0579109
9.90E+07	0.00969791	0.010557	0.0567154
9.91E+07	0.0103079	0.0103446	0.0548364
9.93E+07	0.0105805	0.0101123	0.0533428
9.94E+07	0.00973409	0.00972164	0.0531541
9.95E+07	0.00890071	0.00959194	0.0527189
9.96E+07	0.00931065	0.00950422	0.051025
9.98E+07	0.00980869	0.00941028	0.0492757
9.99E+07	0.00897037	0.00923001	0.0489749
1.00E+08	0.00826658	0.00888902	0.0487251
1.00E+08	0.00894034	0.00866289	0.0470077
