Neutrino Energy (eV)	Electron type neutrino	electron antineutrino type	"mu, tau, anti mu, anti tau"
2.03E+07	745.481	759.451	2905.91
2.04E+07	738.813	750.847	2870.9
2.05E+07	732.125	742.261	2836.16
2.06E+07	725.444	733.577	2801.8
2.08E+07	718.778	725.109	2767.49
2.09E+07	712.11	716.575	2733.55
2.10E+07	705.423	708.189	2699.78
2.11E+07	698.739	699.815	2666.3
2.13E+07	692.086	691.494	2633.07
2.14E+07	685.45	683.241	2600.07
2.15E+07	678.806	675.064	2567.33
2.16E+07	672.154	667.035	2534.78
2.18E+07	665.526	659.074	2502.47
2.19E+07	658.938	651.099	2470.49
2.20E+07	652.372	643.433	2438.52
2.21E+07	645.794	635.666	2407.01
2.23E+07	639.225	627.92	2375.84
2.24E+07	632.686	620.382	2344.78
2.25E+07	626.197	612.852	2314.03
2.26E+07	619.737	605.283	2283.65
2.28E+07	613.274	597.699	2253.65
2.29E+07	606.816	590.106	2224.04
2.30E+07	600.394	582.811	2194.46
2.31E+07	594.026	575.442	2165.28
2.33E+07	587.701	567.757	2136.74
2.34E+07	581.389	560.603	2108.04
2.35E+07	575.078	553.137	2080.04
2.36E+07	568.793	545.766	2052.29
2.38E+07	562.56	538.907	2024.36
2.39E+07	556.386	532.025	1996.78
2.40E+07	550.25	525.172	1969.52
2.41E+07	544.125	518.445	1942.51
2.43E+07	538.008	511.786	1915.8
2.44E+07	531.928	505.027	1889.55
2.45E+07	525.906	498.017	1863.86
2.46E+07	519.947	491.382	1838.14
2.48E+07	514.027	484.55	1812.95
2.49E+07	508.124	476.809	1789.04
2.50E+07	502.236	469.827	1764.74
2.51E+07	496.379	461.793	1741.84
2.53E+07	490.579	454.505	1718.53
2.54E+07	484.847	447.324	1695.42
2.55E+07	479.172	439.798	1672.98
2.56E+07	473.523	432.893	1650.28
2.58E+07	467.889	426.467	1627.46
2.59E+07	462.276	420.367	1604.67
2.60E+07	456.711	414.443	1582.04
2.61E+07	451.213	408.714	1559.52
2.63E+07	445.781	403.069	1537.22
2.64E+07	440.402	397.57	1515.09
2.65E+07	435.052	392.315	1493.06
2.66E+07	429.719	386.662	1471.79
2.68E+07	424.408	380.221	1451.64
2.69E+07	419.145	374.831	1430.76
2.70E+07	413.948	368.846	1410.77
2.71E+07	408.821	363.13	1390.81
2.73E+07	403.752	357.48	1371.07
2.74E+07	398.723	352.263	1351.23
2.75E+07	393.716	346.38	1332.38
2.76E+07	388.728	341.534	1312.83
2.78E+07	383.775	336.182	1294.1
2.79E+07	383.468	330.551	1280.53
2.80E+07	378.559	325.273	1262.22
2.81E+07	373.718	320.463	1243.71
2.83E+07	368.938	315.815	1225.33
2.84E+07	364.195	311.487	1206.93
2.85E+07	359.477	307.001	1189
2.86E+07	354.781	302.59	1171.3
